# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue --direct -i 6291519b -s 8b --try-again --retrim /dev/sda ./rescue.img ./rescue.log
# current_pos  current_status
0xC0008A00     +
#      pos        size  status
0xC0322200  0x00000C00  +
0xC0322E00  0x00000C00  -
0xC0323A00  0x00000200  +
0xC0323C00  0x00000400  -
0xC0324000  0x00005000  +
0xC0329000  0x00000200  -
0xC0329200  0x00000C00  +
0xC0329E00  0x00000200  -
0xC032A000  0x000F6000  +
0xC0420000  0x00000400  -
0xC0420400  0x00000A00  +
0xC0420E00  0x00000200  -
0xC0421000  0x000C8E00  +
0xC04E9E00  0x00001200  -
0xC04EB000  0x00008E00  +
0xC04F3E00  0x00001000  -
0xC04F4E00  0x00004000  +
0xC04F8E00  0x00001200  -
0xC04FA000  0x000F8000  +
0xC05F2000  0x00000200  -
0xC05F2200  0x00000E00  +
0xC05F3000  0x00000200  -
0xC05F3200  0x00000A00  +
0xC05F3C00  0x00000400  -
0xC05F4000  0x001EBE00  +
0xC07DFE00  0x00000400  -
0xC07E0200  0x00000200  +
0xC07E0400  0x00000C00  -
0xC07E1000  0x000A6E00  +
0xC0887E00  0x00000A00  -
0xC0888800  0x00000600  +
0xC0888E00  0x00000200  -
0xC0889000  0x00024E00  +
0xC08ADE00  0x00000200  -
0xC08AE000  0x00000200  +
0xC08AE200  0x00000200  -
0xC08AE400  0x00000200  +
0xC08AE600  0x00000A00  -
0xC08AF000  0x0003A000  +
0xC08E9000  0x00000200  -
0xC08E9200  0x00000200  +
0xC08E9400  0x00000200  -
0xC08E9600  0x00003400  +
0xC08ECA00  0x00000600  -
0xC08ED000  0x00018E00  +
0xC0905E00  0x00001000  -
0xC0906E00  0x00001000  +
0xC0907E00  0x00000200  -
0xC0908000  0x00000200  +
0xC0908200  0x00000600  -
0xC0908800  0x00001600  +
0xC0909E00  0x00001200  -
0xC090B000  0x00008000  +
0xC0913000  0x00000200  -
0xC0913200  0x00000C00  +
0xC0913E00  0x00000200  -
0xC0914000  0x00000200  +
0xC0914200  0x00000200  -
0xC0914400  0x00000200  +
0xC0914600  0x00000200  -
0xC0914800  0x00000200  +
0xC0914A00  0x00000200  -
0xC0914C00  0x00001200  +
0xC0915E00  0x00000200  -
0xC0916000  0x00002000  +
0xC0918000  0x00000200  -
0xC0918200  0x00000800  +
0xC0918A00  0x00000200  -
0xC0918C00  0x00000200  +
0xC0918E00  0x00000200  -
0xC0919000  0x0005A000  +
0xC0973000  0x00000400  -
0xC0973400  0x00000A00  +
0xC0973E00  0x00000800  -
0xC0974600  0x00000600  +
0xC0974C00  0x00000400  -
0xC0975000  0x0003FE00  +
0xC09B4E00  0x00000200  -
0xC09B5000  0x00000E00  +
0xC09B5E00  0x00000200  -
0xC09B6000  0x00041000  +
0xC09F7000  0x00000200  -
0xC09F7200  0x00000400  +
0xC09F7600  0x00000A00  -
0xC09F8000  0x00028E00  +
0xC0A20E00  0x00000800  -
0xC0A21600  0x00000200  +
0xC0A21800  0x00000800  -
0xC0A22000  0x00102E00  +
0xC0B24E00  0x00001200  -
0xC0B26000  0x00016000  +
0xC0B3C000  0x00000200  -
0xC0B3C200  0x00000C00  +
0xC0B3CE00  0x00000C00  -
0xC0B3DA00  0x00000400  +
0xC0B3DE00  0x00000200  -
0xC0B3E000  0x0005A000  +
0xC0B98000  0x00000400  -
0xC0B98400  0x00000A00  +
0xC0B98E00  0x00001400  -
0xC0B9A200  0x00000600  +
0xC0B9A800  0x00000400  -
0xC0B9AC00  0x00002200  +
0xC0B9CE00  0x00001000  -
0xC0B9DE00  0x00005000  +
0xC0BA2E00  0x00000800  -
0xC0BA3600  0x00000200  +
0xC0BA3800  0x00000200  -
0xC0BA3A00  0x00004400  +
0xC0BA7E00  0x00000E00  -
0xC0BA8C00  0x00000200  +
0xC0BA8E00  0x00000200  -
0xC0BA9000  0x0026B000  +
0xC0E14000  0x00000400  -
0xC0E14400  0x00000A00  +
0xC0E14E00  0x00001200  -
0xC0E16000  0x0005E200  +
0xC0E74200  0x00000400  -
0xC0E74600  0x00000800  +
0xC0E74E00  0x00000400  -
0xC0E75200  0x00000200  +
0xC0E75400  0x00000600  -
0xC0E75A00  0x0000D400  +
0xC0E82E00  0x00001200  -
0xC0E84000  0x00025000  +
0xC0EA9000  0x00000400  -
0xC0EA9400  0x00000A00  +
0xC0EA9E00  0x00001200  -
